wlan.frag,wlan.bssid,wlan.fc.subtype,wlan.duration,wlan.ta,wlan.fc.type,wlan.sa,frame.len,data.len,timestamp_c,wlan.ra,frame.number,wlan.da,class,wlan.seq
0,0,8,44,1,2,1,229,167,28136.38638,0,415,0,benign,244
0,0,8,44,0,2,0,86,0,28136.43962,1,417,1,benign,153
0,0,12,60,0,2,0,26,0,28136.488,1,419,1,benign,0
0,0,8,44,1,2,1,231,169,28136.48841,0,421,0,benign,245
0,0,12,60,0,2,0,26,0,28136.59016,1,423,1,benign,0
0,0,8,44,1,2,1,229,167,28136.59045,0,425,0,benign,246
0,0,8,44,1,2,1,233,171,28139.75213,0,463,0,benign,282
0,0,12,60,0,2,0,26,0,28139.7645,1,465,1,benign,0
0,0,8,44,0,2,0,86,0,28139.82007,1,467,1,benign,161
0,0,8,44,1,2,1,233,171,28139.85424,0,469,0,benign,283
0,0,12,60,0,2,0,26,0,28139.86692,1,471,1,benign,0
0,0,8,44,1,2,1,230,168,28139.95658,0,473,0,benign,284
0,0,12,60,0,2,0,26,0,28139.96932,1,475,1,benign,0
0,0,8,44,0,2,0,86,0,28140.02408,1,477,1,benign,162
0,0,8,44,1,2,1,75,13,28140.0584,0,478,0,benign,285
0,0,8,44,1,2,1,232,170,28140.05842,0,480,0,benign,286
0,0,12,60,0,2,0,26,0,28140.07171,1,482,1,benign,0
0,0,8,44,1,2,1,232,170,28140.16064,0,484,0,benign,287
0,0,12,60,0,2,0,26,0,28143.34873,1,500,1,benign,0
0,0,8,44,1,2,1,229,167,28143.3741,0,502,0,benign,326
0,0,12,60,0,2,0,26,0,28143.45112,1,504,1,benign,0
0,0,8,44,1,2,1,230,168,28143.47615,0,506,0,benign,327
0,0,12,60,0,2,0,26,0,28143.55561,1,508,1,benign,0
0,0,8,44,1,2,1,230,168,28143.57803,0,510,0,benign,328
0,0,12,60,0,2,0,26,0,28143.65592,1,512,1,benign,0
0,0,8,44,1,2,1,228,166,28143.68035,0,514,0,benign,329
0,0,8,44,1,2,1,228,166,28143.68057,0,515,0,benign,329
0,0,12,60,0,2,0,26,0,28143.7583,1,517,1,benign,0
0,0,8,44,1,2,1,228,166,28143.78198,0,519,0,benign,330
0,0,8,44,1,2,1,228,166,28143.78224,0,520,0,benign,330
0,0,5,320,1,0,1,98,0,28144.08615,3,522,3,benign,425
0,0,5,320,1,0,1,98,0,28144.09292,3,523,3,benign,425
0,0,5,320,1,0,1,98,0,28144.18146,3,524,3,benign,427
0,0,8,320,1,2,1,230,168,28146.38955,0,537,0,benign,361
0,0,8,44,1,2,1,230,168,28146.89294,0,547,0,benign,367
0,0,12,60,0,2,0,26,0,28146.93252,1,549,1,benign,0
0,0,8,44,1,2,1,233,171,28146.99493,0,551,0,benign,368
0,0,12,60,0,2,0,26,0,28147.03486,1,553,1,benign,0
0,0,8,44,1,2,1,75,13,28147.04583,0,555,0,benign,369
0,0,8,44,1,2,1,231,169,28147.09711,0,557,0,benign,370
0,0,12,60,0,2,0,26,0,28147.13729,1,559,1,benign,0
0,0,8,44,1,2,1,231,169,28147.19892,0,561,0,benign,371
0,0,12,60,0,2,0,26,0,28147.2397,1,563,1,benign,0
0,0,8,44,1,2,1,230,168,28147.30092,0,565,0,benign,372
0,0,12,60,0,2,0,26,0,28147.34203,1,567,1,benign,0
0,0,8,44,0,2,0,86,0,28150.46389,1,597,1,benign,192
0,0,8,44,0,2,0,86,0,28150.46411,1,598,1,benign,192
0,0,8,44,0,2,0,86,0,28150.46441,1,599,1,benign,192
0,0,8,44,1,2,1,228,166,28150.5137,0,600,0,benign,410
0,0,12,60,0,2,0,26,0,28150.51641,1,602,1,benign,0
0,0,8,44,1,2,1,229,167,28150.61596,0,604,0,benign,411
0,0,8,44,0,2,0,86,0,28150.66566,1,606,1,benign,193
0,0,8,44,1,2,1,229,167,28150.7181,0,608,0,benign,412
0,0,12,60,0,2,0,26,0,28150.72119,1,610,1,benign,0
0,0,8,44,1,2,1,231,169,28150.82003,0,612,0,benign,413
0,0,8,44,1,2,1,231,169,28150.82005,0,613,0,benign,413
0,0,8,44,1,2,1,231,169,28150.8204,0,614,0,benign,413
0,0,8,44,1,2,1,231,169,28150.82069,0,615,0,benign,413
0,0,8,44,1,2,1,231,169,28150.82125,0,616,0,benign,413
0,0,8,44,1,2,1,231,169,28150.82151,0,617,0,benign,413
0,0,8,320,1,2,1,231,169,28150.82391,0,618,0,benign,413
0,0,12,60,0,2,0,26,0,28150.82533,1,619,1,benign,0
0,0,8,320,1,2,1,231,169,28150.82781,0,621,0,benign,413
0,0,8,44,0,2,0,62,0,28150.88204,1,623,1,benign,194
0,0,8,44,1,2,1,62,0,28150.88261,0,625,0,benign,414
0,0,8,44,0,2,0,72,10,28150.91264,1,627,1,benign,195
0,0,8,44,1,2,1,230,168,28150.92213,0,629,0,benign,415
0,0,12,60,0,2,0,26,0,28150.92609,1,631,1,benign,0
0,0,8,44,1,2,1,230,168,28154.03236,0,647,0,benign,452
0,0,8,44,1,2,1,75,13,28154.0839,0,649,0,benign,453
0,0,12,60,0,2,0,26,0,28154.10035,1,651,1,benign,0
0,0,8,44,1,2,1,231,169,28154.13439,0,652,0,benign,454
0,0,12,60,0,2,0,26,0,28154.20298,1,654,1,benign,0
0,0,8,44,1,2,1,232,170,28154.23663,0,656,0,benign,455
0,0,8,44,1,2,1,74,12,28154.28762,0,658,0,benign,456
0,0,12,60,0,2,0,26,0,28154.30537,1,660,1,benign,0
0,0,8,44,1,2,1,231,169,28154.38966,0,662,0,benign,457
0,0,12,60,0,2,0,26,0,28154.40777,1,664,1,benign,0
0,0,8,44,1,2,1,231,169,28154.49228,0,666,0,benign,458
0,0,12,60,0,2,0,26,0,28154.51018,1,668,1,benign,0
0,0,12,60,0,2,0,26,0,28157.58267,1,726,1,benign,0
0,0,8,44,1,2,1,229,167,28157.60287,0,728,0,benign,496
0,0,12,60,0,2,0,26,0,28157.68457,1,730,1,benign,0
0,0,8,44,1,2,1,228,166,28157.70419,0,732,0,benign,497
0,0,12,60,0,2,0,26,0,28157.78693,1,734,1,benign,0
0,0,8,44,1,2,1,229,167,28157.80606,0,736,0,benign,498
0,0,8,44,1,2,1,230,168,28157.90815,0,738,0,benign,499
0,0,8,44,1,2,1,232,170,28158.01017,0,740,0,benign,500
0,0,8,44,1,2,1,232,170,28158.01041,0,741,0,benign,500
0,0,8,44,1,2,1,232,170,28158.01074,0,742,0,benign,500
0,0,12,60,0,2,0,26,0,28161.16645,1,792,1,benign,0
0,0,8,44,1,2,1,232,170,28161.22354,0,794,0,benign,539
0,0,8,44,1,2,1,233,171,28161.32555,0,796,0,benign,540
0,0,8,44,1,2,1,232,170,28161.42767,0,798,0,benign,541
0,0,12,60,0,2,0,26,0,28161.47318,1,800,1,benign,0
0,0,8,44,1,2,1,233,171,28161.53011,0,802,0,benign,542
0,0,8,44,1,2,1,233,171,28161.53012,0,803,0,benign,542
0,0,12,60,0,2,0,26,0,28161.57555,1,805,1,benign,0
0,0,8,44,0,2,0,86,0,28161.62896,1,807,1,benign,232
0,0,8,44,1,2,1,231,169,28161.63148,0,809,0,benign,543
0,0,8,44,1,2,1,231,169,28164.74212,0,835,0,benign,579
0,0,12,60,0,2,0,26,0,28164.74992,1,837,1,benign,0
0,0,8,44,1,2,1,232,170,28164.84411,0,839,0,benign,580
0,0,8,44,1,2,1,231,169,28164.94611,0,842,0,benign,581
0,0,12,60,0,2,0,26,0,28164.95462,1,843,1,benign,0
0,0,8,44,1,2,1,230,168,28165.04804,0,845,0,benign,582
0,0,12,60,0,2,0,26,0,28165.05701,1,847,1,benign,0
0,0,8,44,0,2,0,86,0,28165.06998,1,849,1,benign,245
0,0,8,44,1,2,1,64,2,28165.09919,0,851,0,benign,583
0,0,8,44,1,2,1,231,169,28165.15007,0,854,0,benign,585
0,0,12,60,0,2,0,26,0,28165.15944,1,856,1,benign,0
0,0,8,44,0,2,0,77,15,28165.22613,1,857,1,benign,246
0,0,5,320,1,0,1,98,0,28168.29421,2,881,2,benign,666
0,0,5,320,1,0,1,98,0,28168.29557,2,882,2,benign,666
0,0,5,320,1,0,1,98,0,28168.29688,2,883,2,benign,666
0,0,8,44,1,2,1,231,169,28168.31178,0,884,0,benign,623
0,0,8,44,1,2,1,232,170,28168.41393,0,886,0,benign,624
0,0,5,320,1,0,1,98,0,28168.43927,3,888,3,benign,668
0,0,8,44,1,2,1,233,171,28168.51608,0,889,0,benign,625
0,0,5,320,1,0,1,98,0,28168.53298,3,891,3,benign,670
0,0,5,320,1,0,1,98,0,28168.53431,3,892,3,benign,670
0,0,12,60,0,2,0,26,0,28168.53859,1,893,1,benign,0
0,0,8,44,1,2,1,232,170,28168.61794,0,895,0,benign,626
0,0,8,44,1,2,1,232,170,28168.61829,0,896,0,benign,626
0,0,5,320,1,0,1,98,0,28168.63234,3,898,3,benign,672
0,0,5,320,1,0,1,98,0,28168.63445,3,899,3,benign,672
0,0,12,60,0,2,0,26,0,28168.64107,1,900,1,benign,0
0,0,8,44,0,2,0,86,0,28168.64962,1,902,1,benign,256
0,0,8,44,1,2,1,232,170,28168.77078,0,904,0,benign,628
0,0,8,44,1,2,1,232,170,28168.77104,0,905,0,benign,628
0,0,8,44,1,2,1,232,170,28168.7714,0,906,0,benign,628
0,0,8,44,1,2,1,232,170,28168.77174,0,907,0,benign,628
0,0,8,44,1,2,1,232,170,28168.77224,0,908,0,benign,628
0,0,8,44,1,2,1,232,170,28168.77252,0,909,0,benign,628
0,0,8,320,1,2,1,232,170,28168.77515,0,910,0,benign,628
0,0,12,60,0,2,0,26,0,28171.918,1,929,1,benign,0
0,0,8,44,1,2,1,228,166,28171.93277,0,931,0,benign,665
0,0,12,60,0,2,0,26,0,28172.02041,1,933,1,benign,0
0,0,8,44,1,2,1,231,169,28172.03483,0,935,0,benign,666
0,0,8,44,0,2,0,86,0,28172.06668,1,937,1,benign,264
0,0,12,60,0,2,0,26,0,28172.12276,1,939,1,benign,0
0,0,8,44,1,2,1,230,168,28172.13678,0,941,0,benign,667
0,0,8,44,1,2,1,75,13,28172.13696,0,943,0,benign,668
0,0,8,44,1,2,1,230,168,28172.23879,0,946,0,benign,669
0,0,8,44,0,2,0,86,0,28172.26507,1,948,1,benign,265
0,0,8,44,1,2,1,74,12,28172.28952,0,950,0,benign,670
0,0,12,60,0,2,0,26,0,28172.32756,1,952,1,benign,0
0,0,8,44,1,2,1,231,169,28172.34052,0,954,0,benign,671
0,0,12,60,0,2,0,26,0,28175.50169,1,975,1,benign,0
0,0,8,44,0,2,0,86,0,28175.50184,1,977,1,benign,277
0,0,8,44,1,2,1,233,171,28175.55361,0,979,0,benign,707
0,0,12,60,0,2,0,26,0,28175.60409,1,980,1,benign,0
0,0,12,60,0,2,0,26,0,28175.70649,1,983,1,benign,0
0,0,8,44,1,2,1,233,171,28175.75764,0,985,0,benign,709
0,0,8,44,1,2,1,234,172,28175.85964,0,987,0,benign,710
0,0,12,60,0,2,0,26,0,28175.9113,1,989,1,benign,0
0,0,8,44,1,2,1,231,169,28179.07217,0,1004,0,benign,750
0,0,12,60,0,2,0,26,0,28179.08589,1,1006,1,benign,0
0,0,8,44,0,2,0,86,0,28179.09017,1,1008,1,benign,288
0,0,12,60,0,2,0,26,0,28179.09598,1,1010,1,benign,0
0,0,5,320,1,0,1,98,0,28179.1028,0,1012,0,benign,781
0,0,5,320,1,0,1,98,0,28179.10414,0,1014,0,benign,781
0,0,5,320,1,0,1,98,0,28179.1065,0,1016,0,benign,782
0,0,8,44,1,2,1,75,13,28179.17569,0,1018,0,benign,751
0,0,8,44,1,2,1,232,170,28179.17583,0,1020,0,benign,752
0,0,12,60,0,2,0,26,0,28179.25088,1,1023,1,benign,0
0,0,8,44,1,2,1,228,166,28179.27619,0,1025,0,benign,753
0,0,12,60,0,2,0,26,0,28179.29068,1,1027,1,benign,0
0,0,8,44,0,2,0,86,0,28179.2907,1,1029,1,benign,289
0,0,12,60,0,2,0,26,0,28179.34805,1,1031,1,benign,0
0,0,12,60,0,2,0,26,0,28179.3749,1,1033,1,benign,0
0,0,8,44,1,2,1,228,166,28179.37818,0,1035,0,benign,754
0,0,12,60,0,2,0,26,0,28179.39307,1,1037,1,benign,0
0,0,12,60,0,2,0,26,0,28179.47203,1,1039,1,benign,0
0,0,12,60,0,2,0,26,0,28179.49908,1,1041,1,benign,0
0,0,8,44,1,2,1,229,167,28179.4991,0,1043,0,benign,755
0,0,8,44,0,2,0,86,0,28179.50903,1,1045,1,benign,290
0,0,8,44,1,2,1,232,170,28182.59101,0,1056,0,benign,792
0,0,8,44,0,2,0,66,4,28182.65063,1,1058,1,benign,296
0,0,8,44,0,2,0,66,4,28182.65128,1,1059,1,benign,296
0,0,8,44,0,2,0,86,0,28182.66546,1,1061,1,benign,297
0,0,12,60,0,2,0,26,0,28182.66961,1,1063,1,benign,0
0,0,8,44,1,2,1,64,2,28182.69307,0,1065,0,benign,793
0,0,8,44,1,2,1,236,174,28182.69324,0,1067,0,benign,794
0,0,12,60,0,2,0,26,0,28182.77224,1,1069,1,benign,0
0,0,8,44,1,2,1,237,175,28182.79514,0,1071,0,benign,795
0,0,8,44,0,2,0,86,0,28182.86885,1,1073,1,benign,298
0,0,12,60,0,2,0,26,0,28182.87463,1,1075,1,benign,0
0,0,8,44,0,2,0,66,4,28182.88391,1,1077,1,benign,299
0,0,8,44,1,2,1,237,175,28182.89706,0,1079,0,benign,796
0,0,12,60,0,2,0,26,0,28182.977,1,1081,1,benign,0
0,0,8,44,1,2,1,237,175,28182.99905,0,1083,0,benign,797
0,0,12,60,0,2,0,26,0,28183.07947,1,1085,1,benign,0
0,0,8,44,0,2,0,86,0,28183.08746,1,1087,1,benign,300
0,0,8,44,1,2,1,75,13,28186.16085,0,1103,0,benign,833
0,0,8,44,1,2,1,237,175,28186.21209,0,1105,0,benign,834
0,0,12,60,0,2,0,26,0,28186.25356,1,1107,1,benign,0
0,0,8,44,1,2,1,74,12,28186.26285,0,1109,0,benign,835
0,0,8,44,1,2,1,238,176,28186.3141,0,1111,0,benign,836
0,0,12,60,0,2,0,26,0,28186.35594,1,1113,1,benign,0
0,0,8,44,1,2,1,64,2,28186.41868,0,1115,0,benign,837
0,0,8,44,1,2,1,237,175,28186.41879,0,1117,0,benign,838
0,0,8,44,1,2,1,237,175,28186.51788,0,1119,0,benign,839
0,0,12,60,0,2,0,26,0,28186.56099,1,1121,1,benign,0
0,0,8,44,1,2,1,237,175,28186.61987,0,1123,0,benign,840
0,0,8,44,1,2,1,237,175,28189.83285,0,1137,0,benign,877
0,0,12,60,0,2,0,26,0,28189.83751,1,1139,1,benign,0
0,0,5,320,1,0,1,98,0,28189.88277,3,1141,3,benign,890
0,0,5,320,1,0,1,98,0,28189.8862,3,1143,3,benign,891
0,0,8,44,1,2,1,237,175,28189.93504,0,1144,0,benign,878
0,0,12,60,0,2,0,26,0,28189.93993,1,1146,1,benign,0
0,0,5,320,1,0,1,98,0,28189.98116,3,1148,3,benign,893
0,0,5,320,1,0,1,98,0,28189.98249,3,1149,3,benign,893
0,0,8,44,1,2,1,237,175,28190.03693,0,1150,0,benign,879
0,0,8,44,1,2,1,236,174,28190.13894,0,1152,0,benign,880
0,0,12,60,0,2,0,26,0,28190.14471,1,1154,1,benign,0
0,0,8,44,1,2,1,75,13,28190.1898,0,1156,0,benign,881
0,0,12,60,0,2,0,26,0,28193.31923,1,1173,1,benign,0
0,0,8,44,1,2,1,236,174,28193.35155,0,1174,0,benign,918
0,0,12,60,0,2,0,26,0,28193.42169,1,1176,1,benign,0
0,0,8,44,1,2,1,237,175,28193.45354,0,1178,0,benign,919
0,0,12,60,0,2,0,26,0,28193.52404,1,1180,1,benign,0
0,0,8,44,1,2,1,235,173,28193.55555,0,1182,0,benign,920
0,0,12,60,0,2,0,26,0,28193.6265,1,1184,1,benign,0
0,0,8,44,1,2,1,236,174,28193.65765,0,1186,0,benign,921
0,0,8,44,1,2,1,237,175,28193.75964,0,1188,0,benign,922
0,0,8,44,1,2,1,237,175,28193.75992,0,1189,0,benign,922
0,0,8,44,1,2,1,237,175,28196.87134,0,1220,0,benign,958
0,0,8,44,0,2,0,86,0,28196.89795,1,1222,1,benign,321
0,0,8,44,1,2,1,236,174,28196.97362,0,1224,0,benign,959
0,0,12,60,0,2,0,26,0,28197.00554,1,1226,1,benign,0
0,0,8,44,1,2,1,235,173,28197.0756,0,1228,0,benign,960
0,0,12,60,0,2,0,26,0,28197.10789,1,1230,1,benign,0
0,0,8,44,0,2,0,86,0,28197.11669,1,1232,1,benign,322
0,0,8,44,1,2,1,235,173,28197.17769,0,1234,0,benign,961
0,0,12,60,0,2,0,26,0,28197.2103,1,1236,1,benign,0
0,0,8,44,1,2,1,75,13,28197.22836,0,1238,0,benign,962
0,0,8,44,1,2,1,236,174,28197.27959,0,1240,0,benign,963
0,0,8,44,0,2,0,86,0,28197.30565,1,1242,1,benign,323
0,0,12,60,0,2,0,26,0,28197.31262,1,1244,1,benign,0
0,0,12,60,0,2,0,26,0,28200.48718,1,1260,1,benign,0
0,0,8,44,1,2,1,235,173,28200.49225,0,1262,0,benign,1000
0,0,12,60,0,2,0,26,0,28200.58961,1,1264,1,benign,0
0,0,8,44,1,2,1,237,175,28200.59442,0,1266,0,benign,1001
0,0,12,60,0,2,0,26,0,28200.69197,1,1268,1,benign,0
0,0,8,44,1,2,1,237,175,28200.69625,0,1270,0,benign,1002
0,0,12,60,0,2,0,26,0,28200.7944,1,1272,1,benign,0
0,0,8,44,1,2,1,236,174,28200.79816,0,1274,0,benign,1003
0,0,12,60,0,2,0,26,0,28200.89681,1,1276,1,benign,0
0,0,8,44,1,2,1,237,175,28200.9002,0,1278,0,benign,1004
0,0,8,44,1,2,1,236,174,28204.01097,0,1294,0,benign,1039
0,0,12,60,0,2,0,26,0,28204.07117,1,1296,1,benign,0
0,0,8,44,1,2,1,236,174,28204.11305,0,1298,0,benign,1040
0,0,12,60,0,2,0,26,0,28204.17371,1,1300,1,benign,0
0,0,8,44,1,2,1,235,173,28204.21511,0,1302,0,benign,1041
0,0,8,44,1,2,1,75,13,28204.21557,0,1304,0,benign,1042
0,0,8,44,1,2,1,74,12,28204.26601,0,1306,0,benign,1043
0,0,12,60,0,2,0,26,0,28204.27596,1,1308,1,benign,0
0,0,8,320,1,2,1,236,174,28204.32399,0,1310,0,benign,1044
0,0,12,60,0,2,0,26,0,28204.37899,1,1312,1,benign,0
0,0,8,44,1,2,1,236,174,28204.41903,0,1314,0,benign,1045
0,0,8,44,1,2,1,237,175,28207.63224,0,1337,0,benign,1081
0,0,12,60,0,2,0,26,0,28207.65491,1,1339,1,benign,0
0,0,8,44,1,2,1,236,174,28207.73423,0,1341,0,benign,1082
0,0,12,60,0,2,0,26,0,28207.75731,1,1343,1,benign,0
0,0,8,44,1,2,1,236,174,28207.8361,0,1345,0,benign,1083
0,0,12,60,0,2,0,26,0,28207.85972,1,1347,1,benign,0
0,0,8,44,1,2,1,235,173,28207.93811,0,1349,0,benign,1084
0,0,12,60,0,2,0,26,0,28207.96209,1,1351,1,benign,0
0,0,8,44,1,2,1,236,174,28208.04012,0,1353,0,benign,1085
0,0,12,60,0,2,0,26,0,28208.06478,1,1355,1,benign,0
0,0,12,60,0,2,0,26,0,28208.06502,1,1357,1,benign,0
0,0,8,44,1,2,1,237,175,28211.15066,0,1374,0,benign,1121
0,0,12,60,0,2,0,26,0,28211.24019,1,1376,1,benign,0
0,0,8,44,1,2,1,236,174,28211.25272,0,1378,0,benign,1122
0,0,8,44,1,2,1,75,13,28211.25316,0,1380,0,benign,1123
0,0,12,60,0,2,0,26,0,28211.3415,1,1382,1,benign,0
0,0,8,44,1,2,1,236,174,28211.35462,0,1384,0,benign,1124
0,0,12,60,0,2,0,26,0,28211.4439,1,1386,1,benign,0
0,0,8,44,1,2,1,236,174,28211.45672,0,1388,0,benign,1125
0,0,12,60,0,2,0,26,0,28211.5463,1,1390,1,benign,0
0,0,12,60,0,2,0,26,0,28211.64868,1,1393,1,benign,0
0,0,12,60,0,2,0,26,0,28214.72035,1,1413,1,benign,0
0,0,8,44,1,2,1,236,174,28214.77178,0,1415,0,benign,1163
0,0,12,60,0,2,0,26,0,28214.82641,1,1417,1,benign,0
0,0,8,44,1,2,1,236,174,28214.8739,0,1419,0,benign,1164
0,0,12,60,0,2,0,26,0,28214.92521,1,1421,1,benign,0
0,0,8,44,1,2,1,236,174,28214.97578,0,1423,0,benign,1165
0,0,12,60,0,2,0,26,0,28215.02883,1,1425,1,benign,0
0,0,8,44,1,2,1,236,174,28215.07782,0,1427,0,benign,1166
0,0,12,60,0,2,0,26,0,28215.13002,1,1429,1,benign,0
0,0,8,44,1,2,1,237,175,28215.1798,0,1431,0,benign,1167
0,0,8,44,1,2,1,237,175,28218.29148,0,1450,0,benign,1202
0,0,8,44,1,2,1,75,13,28218.29151,0,1452,0,benign,1203
0,0,8,44,1,2,1,74,12,28218.29188,0,1454,0,benign,1204
0,0,12,60,0,2,0,26,0,28218.30436,1,1456,1,benign,0
0,0,12,60,0,2,0,26,0,28218.41169,1,1458,1,benign,0
0,0,8,44,1,2,1,237,175,28218.44472,0,1460,0,benign,1206
0,0,12,60,0,2,0,26,0,28218.50941,1,1462,1,benign,0
0,0,8,44,1,2,1,235,173,28218.54693,0,1464,0,benign,1207
0,0,12,60,0,2,0,26,0,28218.61181,1,1466,1,benign,0
0,0,12,60,0,2,0,26,0,28218.71419,1,1468,1,benign,0
0,0,8,44,1,2,1,236,174,28221.96452,0,1499,0,benign,1245
